2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 61]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 63]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 64]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 68]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 70]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 71]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 78]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 2 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 43]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 46]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 47]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 61]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 63]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 64]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 68]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 70]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 71]
2013-06-10 17:15:54 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 78]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 2 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 43]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 46]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 47]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 61]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 63]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 64]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 68]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 70]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 71]
2013-06-10 17:15:58 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 78]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 2 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 43]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 46]
